word,count
the,6469618
",",5142545
.,3846766
of,2755820
and,2516971
@,2388912
in,2186094
to,2003878
a,1782480
=,1473006
``,1343605
was,1081017
-,893560
on,772633
's,731218
as,728490
for,702511
that,694123
with,653484
by,633852
),586625
(,586274
is,518934
his,467332
at,463847
he,461641
>,449978
<,449876
it,447766
from,447277
unk,446111
were,357009
an,322786
had,294565
which,277040
be,238485
this,217874
but,212632
are,205957
not,205525
first,204770
their,194988
after,192597
;,191955
one,190076
her,187661
–,186397
also,185762
its,184856
:,181842
they,176300
two,171708
or,167778
have,165183
who,160292
new,153658
been,153215
has,151856
she,146905
',140646
when,136537
time,132925
during,132668
other,129149
would,127116
into,124594
all,121743
1,116455
more,115433
i,113595
while,107616
over,106402
him,100492
game,99539
only,98945
later,98833
up,96296
most,96117
three,95044
about,94560
out,94192
2,93491
between,93370
there,91083
than,90949
some,85846
film,84692
may,83938
no,81494
before,81199
year,80599
made,79014
such,77808
3,77243
second,76741
season,76695
where,76168
000,75983
war,74339
years,74306
world,74293
/,71545
both,71014
however,70445
then,70425
used,70159
through,69511
being,69464
them,69259
these,69177
can,69165
song,69163
5,68624
series,68401
against,68298
album,66778
many,66460
team,65110
city,65050
north,64531
part,64423
became,64120
number,64075
united,63730
several,63584
including,63514
four,63278
—,63272
well,63260
4,63218
early,62181
state,61738
under,61610
south,59732
music,59302
day,58644
so,58360
episode,57715
said,57120
following,57071
states,56877
american,55162
known,55076
although,55007
could,54496
did,54316
work,53484
began,52897
until,52301
because,51639
released,51315
like,51084
called,50715
10,50334
high,49905
people,49749
6,49490
end,49127
million,48035
british,47890
since,47697
around,47264
$,46944
long,46618
national,46467
each,46436
life,45911
found,45831
best,45808
if,45769
september,45549
us,45214
west,45207
same,45139
back,44698
along,44538
another,44418
five,44276
show,43743
7,43630
took,43314
you,43264
use,43175
any,42920
area,42858
group,42650
final,42589
8,42502
off,42454
august,42128
century,41952
received,41842
october,41621
john,41385
m,41003
school,40952
km,40584
due,40550
what,40197
line,39954
will,39869
government,39757
],39725
[,39644
0,39541
june,39414
east,39302
single,38987
system,38966
march,38852
july,38700
%,38633
home,38556
november,38424
9,38299
games,38279
third,37951
general,37942
april,37637
much,37580
large,37461
set,37160
down,37119
major,37011
left,36606
based,36415
family,36404
york,36401
house,36129
place,36034
just,36006
we,35779
company,35733
12,35728
army,35712
history,35498
december,35485
road,35460
played,35340
included,35168
20,35160
name,35011
january,34980
king,34951
six,34902
band,34807
character,34741
now,34688
wrote,34365
according,34193
won,34111
15,33625
led,33610
main,33606
within,33494
last,33332
near,33329
river,33316
own,33283
times,33274
men,33255
described,33252
those,33152
death,33110
video,32995
air,32819
named,32795
next,32735
battle,32671
...,32647
record,32506
release,32443
de,32415
late,32408
still,32115
league,32038
way,32036
original,32033
make,32029
top,32003
30,31989
very,31987
route,31792
ship,31677
production,31580
force,31560
species,31523
even,31491
great,31471
club,31209
small,31199
man,31108
storm,30998
old,30914
february,30885
't,30848
public,30836
again,30819
though,30536
days,30414
built,30394
11,30034
held,29941
university,29799
play,29731
among,29693
further,29564
division,29533
service,29368
role,29333
2010,29303
do,29290
french,29263
book,29204
german,29141
side,29096
members,29048
having,28865
match,28831
story,28827
white,28817
power,28750
point,28257
water,28222
player,28216
100,28111
2008,28031
often,28007
order,27884
2009,27873
career,27849
continued,27775
former,27735
park,27613
local,27426
2011,27416
black,27326
town,27302
came,27272
without,27256
despite,27024
&,26863
england,26812
considered,26628
take,26557
16,26556
18,26555
party,26496
half,26392
14,26349
13,26336
2007,26296
island,26174
county,26057
few,25996
support,25986
form,25874
songs,25844
development,25826
version,25765
military,25717
moved,25696
written,25608
period,25599
25,25523
different,25496
2012,25362
become,25329
forces,25318
lost,25168
president,25150
english,25124
building,25063
court,25013
given,24980
tropical,24973
ii,24906
london,24870
country,24741
international,24729
little,24708
church,24054
performance,23983
my,23964
gave,23854
never,23830
similar,23805
attack,23803
street,23799
lead,23745
tour,23735
track,23704
returned,23656
using,23571
royal,23507
published,23467
produced,23436
position,23435
went,23407
short,23353
class,23101
recorded,23042
children,23026
television,22984
2006,22942
highway,22942
stated,22914
aircraft,22876
total,22819
ships,22779
good,22738
17,22737
land,22735
western,22731
run,22674
include,22631
live,22573
making,22567
how,22545
control,22512
father,22474
week,22438
star,22382
fire,22364
women,22317
s,22307
per,22263
throughout,22217
upon,22146
right,22125
once,22062
love,21965
himself,21873
u.s.,21822
head,21822
australia,21807
2013,21771
less,21541
characters,21520
design,21475
central,21457
age,21288
players,21259
24,21253
me,21204
light,21184
young,21172
instead,21136
title,21064
writing,21057
away,21021
rock,20970
seven,20963
